RawTimestamp,LocalTime,HR_Direct,HR_Buffered,PPG,GSR,Temperature
1743439195590,12:39:55.590,-1,-1,1260.80586080586,0.661782661782662,33.9214205178432
1743439195609,12:39:55.609,-1,-1,1301.0989010989,0.665778665778666,33.9214205178432
1743439195629,12:39:55.629,-1,-1,1369.23076923077,0.665778665778666,33.9214205178432
1743439195648,12:39:55.648,-1,-1,1458.60805860806,0.662670662670663,33.9214205178432
1743439195668,12:39:55.668,-1,-1,1539.92673992674,0.659562659562659,33.9214205178432
1743439195687,12:39:55.687,-1,-1,1627.10622710623,0.660894660894661,33.9214205178432
1743439195707,12:39:55.707,-1,-1,1693.77289377289,0.664890664890665,33.9214205178432
1743439195726,12:39:55.726,-1,-1,1720.14652014652,0.668442668442668,33.9214205178432
1743439195746,12:39:55.746,-1,-1,1718.68131868132,0.667554667554667,33.9214205178432
1743439195765,12:39:55.765,-1,-1,1728.20512820513,0.664002664002664,33.9214205178432
1743439195785,12:39:55.785,-1,-1,1750.18315018315,0.661338661338661,33.9214205178432
1743439195804,12:39:55.804,-1,-1,1764.83516483516,0.662670662670663,33.9214205178432
1743439195824,12:39:55.824,-1,-1,1758.24175824176,0.667110667110667,33.9164177522762
1743439195843,12:39:55.843,-1,-1,1734.79853479853,0.66977466977467,33.9164177522762
1743439195863,12:39:55.863,-1,-1,1703.2967032967,0.668886668886669,33.9164177522762
1743439195882,12:39:55.882,-1,-1,1661.53846153846,0.664890664890665,33.9164177522762
1743439195902,12:39:55.902,-1,-1,1629.30402930403,0.664002664002664,33.9164177522762
1743439195921,12:39:55.921,-1,-1,1597.0695970696,0.666666666666667,33.9164177522762
1743439195941,12:39:55.941,-1,-1,1570.69597069597,0.671106671106671,33.9164177522762
1743439195960,12:39:55.960,-1,-1,1559.70695970696,0.673326673326673,33.9164177522762
1743439195980,12:39:55.980,-1,-1,1556.04395604396,0.671550671550671,33.9164177522762
1743439195999,12:39:55.999,-1,-1,1543.58974358974,0.667110667110667,33.9164177522762
1743439196019,12:39:56.019,-1,-1,1521.61172161172,0.665778665778666,33.9164177522762
1743439196038,12:39:56.038,-1,-1,1500.3663003663,0.667554667554667,33.9164177522762
1743439196058,12:39:56.058,-1,-1,1482.05128205128,0.671994671994672,33.9164177522762
1743439196077,12:39:56.077,-1,-1,1468.13186813187,0.673770673770674,33.9164177522762
1743439196097,12:39:56.097,-1,-1,1449.08424908425,0.672438672438672,33.9164177522762
1743439196116,12:39:56.116,-1,-1,1420.51282051282,0.667998667998668,33.9164177522762
1743439196136,12:39:56.136,-1,-1,1410.98901098901,0.667110667110667,33.9164177522762
1743439196155,12:39:56.155,-1,-1,1397.8021978022,0.668886668886669,33.9164177522762
1743439196175,12:39:56.175,-1,-1,1385.34798534799,0.673770673770674,33.9164177522762
1743439196194,12:39:56.194,-1,-1,1368.49816849817,0.675102675102675,33.9164177522762
